FuncID,Alias,Title,Type,Module,Epic,QA,Dev,Segment,Crit,Focus
ACP,,ACP,Module,,,,,,0,0
Content,,Content,Module,Content,──┐,,,,0,0
DCP,,[Epic]: Creators DCP,Epic,FRONT,,Данил,F Фёдор,,0,0
EasyCancel,,[Epic]: EasyCancel,Epic,VRB WEB,EasyCancel,Анатолий,,,0,0
FRONT.Account_Managment,,[Epic]: Account Managment,Epic,FRONT,Account Managment,Степан,,,0,0
FRONT.Auth.Free_Sing_Up,,[Feature]: Free Sign Up,Feature,FRONT,Auth,Анатолий,,UX /CX,0,0
FRONT.EasyCancel,,[Epic]: Easy Cancel,Epic,FRONT,,,,,0,0
FRONT.Main_Page,,[Epic]: Main Page,Epic,FRONT,Main Page,Данил,,,0,0
FRONT.Payments,,[Epic]: Payments,Epic,FRONT,Payments,Анатолий,,,0,0
FRONT.Slash_Page,,[Epic]: Slash Page,Epic,FRONT,Slash Page,Никита,,,0,0
FRONT.Slash_Page.Slash_Page_display,,[Feature]: Splash Page,Feature,FRONT,Slash Page,Никита,,UI,0,0
FRONT.age,,[Epic]: Age Verification,Epic,FRONT,age,Никита,,,0,0
FRONT.age.age-verification,,[Feature]: Age Verification,Feature,FRONT,age,Никита,,UX /CX,0,0
FRONT.age.soft_page,,[Feature]: Soft Page,Feature,FRONT,age,Никита,,UX /CX,0,0
FRONT.favorites,,[Epic]:  Favorites,Epic,FRONT,favorites,Данил,,,0,0
FRONT.video_player,,[Element]: Video Player,Epic,FRONT,video player,Данил,F Влад,,0,0
Infra,,Infra,Module,Infra,──┐,,,,0,0
PLAYA.playa,,[Epic]:  PLAYa,Service,PLAYA,Playa,Максим,,Integration,0,0
SEO,,[Module]: SEO,Module,SEO,SEO,Максим,,,0,0
UnZip,,[Module]:  Интеграция с UnZip,Module,UnZip,UnZip,Анатолий,,,0,0
UnZip.UnZip.Cookies_-,,[Feature]: Добавление куки по кьюверти параметрам,Feature,UnZip,UnZip,Анатолий,,Integration,0,0
UnZip.UnZip.Передача_статистики,,[Feature]: Пердача UnZip,Feature,UnZip,UnZip,Анатолий,,API,0,0
UnZip.cookies,,[Feature]: Добавление куки по кьюверти параметрам,Feature,UnZip,UnZip,Анатолий,,Integration,0,0
UnZip.statistic,,[Feature]: Пердача UnZip,Feature,UnZip,UnZip,Анатолий,,API,0,0
VRB WEB.Authorization,,[Epic]: Account Authorization,Epic,VRB WEB,Authorization,Степан,,,0,0
VRB WEB.EasyCancel,,[Epic]: EasyCancel,Epic,VRB WEB,EasyCancel,Анатолий,,,0,0
account,,[Epic]: Account Managment,Epic,FRONT,Account Managment,Степан,,UX /CX,0,0
acp.creators_moderations,,ACP Moderations,Epic,ACP,ACP,Степан,,,0,0
acp.payout_tools,,ACP Payout Tools,Epic,ACP,ACP,Максим,,,0,0
acp.payout_tools.history,,ACP Payout History,Feature,ACP,ACP,Максим,,,0,0
acp.payout_tools.to_approve,,ACP to Approve,Feature,ACP,ACP,Максим,,,0,0
acp.payout_tools.to_pay,,ACP to Pay,Feature,ACP,ACP,Максим,,,0,0
acp.settings,,ACP Settings,Epic,ACP,ACP,Степан,,,0,0
acp.statistics,,ACP Statistics,Epic,ACP,ACP,Максим,,,0,0
age_verif,,[Epic]: Age Verification,Epic,FRONT,age,Никита,,UX /CX,0,0
age_verif.yoti,,Service: Yoti Integration,Service,YOTI,age,Никита,,Integration,0,0
catalog.List_view,,[Element]: Catalog - List view,Element,FRONT,,Данил,,UI,0,0
content.seo,,[Epic]: SEO - Content admin,Epic,SEO,Content,Анатолий,,,0,0
dreamcam,,[Module]: Dream Cam,Module,DREM CAM,Dream Cam,Степан,B Владимир,,0,0
email,,[Epic]: EMail,Epic,,EMail,Анатолий,,,0,0
forum,,[Module]: Forum,Module,Flarum,forum,Степан,B Мария,,0,0
front,,[Module]: FRONT,Module,FRONT,──┐,,,,0,0
front.Anounsement,,[Epic]: Announcements Front,Epic,FRONT,Announcements,Никита,B Павел,,0,0
front.GUI,,"Страницы, элементы фронта",Epic,FRONT,Навигация по фронту,,,,0,0
front.age_verif,,[Feature]: Age Verification,Feature,FRONT,age,Никита,,UX /CX,0,0
front.auth.admin,,[Feature]: Admin Login,Feature,FRONT,Auth,Степан,,API,0,0
front.auth.logout,,[Feature]: Log Out,Feature,FRONT,Auth,,,API,1,1
front.auth.member.email,,[Feature]: Auth Member by Email,Feature,FRONT,Auth,Степан,,API,0,0
front.auth.member.username,,[Feature]: Auth Member by Username,Feature,FRONT,Auth,Степан,,API,0,0
front.auth.refresh_token,,[Feature]: Refresh Token,Feature,FRONT,Auth,Степан,,API,0,0
front.authorization,,[Epic]: Auth,Epic,FRONT,Auth,Степан,,,0,0
front.dashboard.DCP,DCP,Dashboard: Creators,Feature,FRONT,Creators DCP,,,,0,0
front.dashboard.DCP.statistics,,Dashboard: Creator Stats,Feature,FRONT,Creators DCP,Максим,,Workflow,0,0
front.dashboard.change_email,,[Feature]: Change Email,Feature,FRONT,Account Managment,Степан,,API,0,0
front.dashboard.change_password,,[Feature]: change password,Feature,FRONT,Account Managment,Степан,,API,0,0
front.dashboard.change_username,,[Feature]: change username,Feature,FRONT,Account Managment,Степан,,API,0,0
front.dashboard.easy_cancel,,[Epic]: Easy Cancel,Epic,FRONT,EasyCancel,Анатолий,,UX /CX,0,0
front.dashboard.easy_cancel.btn,,Easy Cancel btn,Feature,FRONT,EasyCancel,Анатолий,,UX /CX,0,0
front.dashboard.easy_cancel.cancel,,Easy Cancel - Cancel recurrent,Feature,FRONT,EasyCancel,Анатолий,,API,0,0
